ID,figi,figi_composite,figi_company,sector,sector_4,country,market_status,name,id_exch_symbol
ABBN SE Equity,BBG00HCY4J44,BBG000DM2M32,BBG001H7XCX4,Industrials,Electrical Components,CH,Active,ABB Ltd,ABBN
ADEN SE Equity,BBG00HCY5KD0,BBG000BSK6S9,BBG001FFH9R0,Industrials,Professional Services,CH,Active,Adecco Group AG,ADEN
ALLN SE Equity,BBG000CDZK31,BBG000CDYGR5,BBG001H5S8P2,Real Estate,Multi Asset Class Own & Develop,CH,Active,Allreal Holding AG,ALLN
APGN SE Equity,BBG000BBCN71,BBG000BBCLN7,BBG001FFJZW4,Communications,Out-of-Home Display Advertising,CH,Active,APG SGA SA,APGN
BANB SE Equity,BBG000BS0KC7,BBG000BS0JW8,BBG001FN29F2,Health Care,Specialty & Generic Pharma,CH,Active,Bachem Holding AG,BANB
BARN SE Equity,BBG000C35MD1,BBG000C35LZ9,BBG001FLCJC6,Consumer Staples,Agricultural Producers,CH,Active,Barry Callebaut AG,BARN
BCVN SE Equity,BBG000BD7RK9,BBG000BD7QX7,BBG001FFJY84,Financials,Banks,CH,Active,Banque Cantonale Vaudoise,BCVN
BEKN SE Equity,BBG000KD8VL8,BBG000KD8SP1,BBG001FH9SJ2,Financials,Banks,CH,Active,Berner Kantonalbank AG,BEKN
BLKB SE Equity,BBG000BDC834,BBG000BDC7P2,BBG001FFJYF6,Financials,Banks,CH,Active,Basellandschaftliche Kantonalb,BLKB
BUCN SE Equity,BBG000BLZY52,BBG000BLZXN4,BBG001FFHN08,Industrials,Agricultural Machinery,CH,Active,Bucher Industries AG,BUCN
CLN SE Equity,BBG00HCYFBD9,BBG000NQWJL6,BBG001FGHKW7,Materials,Specialty Chemicals,CH,Active,Clariant AG,CLN
DOKA SE Equity,BBG000FTHLJ4,BBG000FTHJW4,BBG001FH7S77,Industrials,Comml & Res Bldg Equip & Sys,CH,Active,dormakaba Holding AG,DOKA
EMSN SE Equity,BBG000SVX8W1,BBG000SVX806,BBG001FFGZD8,Materials,Basic & Diversified Chemicals,CH,Active,EMS-Chemie Holding AG,EMSN
FORN SE Equity,BBG000BBZYJ9,BBG000BBZXW6,BBG001FFHV82,Consumer Discretionary,Building Products,CH,Active,Forbo Holding AG,FORN
GAM SE Equity,BBG000BVPTN2,BBG000BVPSS9,BBG001GCKGX9,Financials,Investment Management,CH,Active,GAM Holding AG,GAM
GEBN SE Equity,BBG00HCYH6J2,BBG000FHLJD6,BBG001H9VP72,Consumer Discretionary,Building Products,CH,Active,Geberit AG,GEBN
GF SE Equity,BBG000BC1MY3,BBG000BC1M46,BBG001FFG027,Industrials,Flow Control Equipment,CH,Active,Georg Fischer AG,GF
GIVN SE Equity,BBG00HCYH960,BBG000DB0Q75,BBG001GFWY97,Materials,Specialty Chemicals,CH,Active,Givaudan SA,GIVN
GURN SE Equity,BBG000BC0XD3,BBG000BC0VQ3,BBG001FFHX79,Materials,Specialty Chemicals,CH,Active,Gurit Holding AG,GURN
HELN SE Equity,BBG000GR9ZD1,BBG000GR9XT9,BBG001FHWX96,Financials,Life Insurance,CH,Active,Helvetia Holding AG,HELN
KNIN SE Equity,BBG00HCYJX38,BBG000HXJ2N8,BBG001FG4MP5,Industrials,Logistics Services,CH,Active,Kuehne + Nagel International A,KNIN
KUD SE Equity,BBG000P5YRS3,BBG000P5YR21,BBG001FFK0Z6,Technology,Infrastructure Software,CH,Active,Kudelski SA,KUD
LISP SE Equity,BBG000BC5MC3,BBG000BC5L53,BBG001FFJ2K0,Consumer Staples,Packaged Food,CH,Active,Chocoladefabriken Lindt & Spru,LISP
LOGN SE Equity,BBG003FBHSJ2,BBG000CYR5S0,BBG001FFJ2R3,Technology,Consumer Electronics,CH,Active,Logitech International SA,LOGN
LONN SE Equity,BBG00HCYR1Y5,BBG000NQXR55,BBG001FGB1G3,Health Care,Health Care Services,CH,Active,Lonza Group AG,LONN
LUKN SE Equity,BBG000BS4H21,BBG000BS4GK3,BBG001FFK193,Financials,Banks,CH,Active,Luzerner Kantonalbank AG,LUKN
NEAG SE Equity,BBG000BC5255,BBG000BC5157,BBG001FFK0Y7,Utilities,Electric Transmission & Dist,CH,Active,Naturenergie Holding AG,NEAG
NESN SE Equity,BBG00HCYRYM6,BBG000CPBD63,BBG001GMBNW3,Consumer Staples,Packaged Food,CH,Active,Nestle SA,NESN
NOVN SE Equity,BBG00HCYS021,BBG000NQV2C4,BBG001FHJTK7,Health Care,Large Pharma,CH,Active,Novartis AG,NOVN
OERL SE Equity,BBG000BQGWC8,BBG000BQGTY1,BBG001GDFCJ8,Materials,Specialty Chemicals,CH,Active,OC Oerlikon Corp AG,OERL
PSPN SE Equity,BBG000BQPG06,BBG000BQPF08,BBG001G6BCQ9,Real Estate,Office Owners & Developers,CH,Active,PSP Swiss Property AG,PSPN
RIEN SE Equity,BBG000BCZ635,BBG000BCZ519,BBG001FFK291,Industrials,Other Machinery & Equipment,CH,Active,Rieter Holding AG,RIEN
RO SE Equity,BBG000BCLWW1,BBG000BCLVP1,BBG001G98RP5,Health Care,Large Pharma,CH,Active,Roche Holding AG,RO
ROG SE Equity,BBG00HCYS1N6,BBG000BNV243,BBG001G98RP5,Health Care,Large Pharma,CH,Active,Roche Holding AG,ROG
